customer_code;trade_name;address;city;state
PREV20260331190951-0001;Cliente 1;Rua 1;Cuiaba;MT
PREV20260331190951-0002;Cliente 2;Rua 2;Cuiaba;MT
PREV20260331190951-0003;Cliente 3;Rua 3;Cuiaba;MT
PREV20260331190951-0004;Cliente 4;Rua 4;Cuiaba;MT
PREV20260331190951-0005;Cliente 5;Rua 5;Cuiaba;MT
PREV20260331190951-0006;Cliente 6;Rua 6;Cuiaba;MT
PREV20260331190951-0007;Cliente 7;Rua 7;Cuiaba;MT
PREV20260331190951-0008;Cliente 8;Rua 8;Cuiaba;MT
PREV20260331190951-0009;Cliente 9;Rua 9;Cuiaba;MT
PREV20260331190951-0010;Cliente 10;Rua 10;Cuiaba;MT
PREV20260331190951-0011;Cliente 11;Rua 11;Cuiaba;MT
PREV20260331190951-0012;Cliente 12;Rua 12;Cuiaba;MT
PREV20260331190951-0013;Cliente 13;Rua 13;Cuiaba;MT
PREV20260331190951-0014;Cliente 14;Rua 14;Cuiaba;MT
PREV20260331190951-0015;Cliente 15;Rua 15;Cuiaba;MT
PREV20260331190951-0016;Cliente 16;Rua 16;Cuiaba;MT
PREV20260331190951-0017;Cliente 17;Rua 17;Cuiaba;MT
PREV20260331190951-0018;Cliente 18;Rua 18;Cuiaba;MT
PREV20260331190951-0019;Cliente 19;Rua 19;Cuiaba;MT
PREV20260331190951-0020;Cliente 20;Rua 20;Cuiaba;MT
PREV20260331190951-0021;Cliente 21;Rua 21;Cuiaba;MT
PREV20260331190951-0022;Cliente 22;Rua 22;Cuiaba;MT
PREV20260331190951-0023;Cliente 23;Rua 23;Cuiaba;MT
PREV20260331190951-0024;Cliente 24;Rua 24;Cuiaba;MT
PREV20260331190951-0025;Cliente 25;Rua 25;Cuiaba;MT
PREV20260331190951-0026;Cliente 26;Rua 26;Cuiaba;MT
PREV20260331190951-0027;Cliente 27;Rua 27;Cuiaba;MT
PREV20260331190951-0028;Cliente 28;Rua 28;Cuiaba;MT
PREV20260331190951-0029;Cliente 29;Rua 29;Cuiaba;MT
PREV20260331190951-0030;Cliente 30;Rua 30;Cuiaba;MT
PREV20260331190951-0031;Cliente 31;Rua 31;Cuiaba;MT
PREV20260331190951-0032;Cliente 32;Rua 32;Cuiaba;MT
PREV20260331190951-0033;Cliente 33;Rua 33;Cuiaba;MT
PREV20260331190951-0034;Cliente 34;Rua 34;Cuiaba;MT
PREV20260331190951-0035;Cliente 35;Rua 35;Cuiaba;MT
PREV20260331190951-0036;Cliente 36;Rua 36;Cuiaba;MT
PREV20260331190951-0037;Cliente 37;Rua 37;Cuiaba;MT
PREV20260331190951-0038;Cliente 38;Rua 38;Cuiaba;MT
PREV20260331190951-0039;Cliente 39;Rua 39;Cuiaba;MT
PREV20260331190951-0040;Cliente 40;Rua 40;Cuiaba;MT
PREV20260331190951-0041;Cliente 41;Rua 41;Cuiaba;MT
PREV20260331190951-0042;Cliente 42;Rua 42;Cuiaba;MT
PREV20260331190951-0043;Cliente 43;Rua 43;Cuiaba;MT
PREV20260331190951-0044;Cliente 44;Rua 44;Cuiaba;MT
PREV20260331190951-0045;Cliente 45;Rua 45;Cuiaba;MT
PREV20260331190951-0046;Cliente 46;Rua 46;Cuiaba;MT
